year,geography,geography_type,indicator,value,value_type,demographics,demographic_type,included
2013,Anderson,County,Stimulant Death,1,Count,,,No
2013,Anderson,County,Benzodiazepine Death,8,Count,,,No
2013,Anderson,County,Cocaine Death,0,Count,,,No
2013,Anderson,County,Fentanyl Death,0,Count,,,No
2013,Anderson,County,Heroin Death,0,Count,,,No
2013,Anderson,County,Opioid Death,21,Count,,,No
2013,Anderson,County,All Opioids,23,Count,,,No
2013,Anderson,County,Opioids and Any Stimulant,1,Count,,,No
2013,Anderson,County,All Opioids and Benzodiazepines,8,Count,,,No
2013,Anderson,County,All Drug Overdose Deaths,25,Count,,,No
2013,Anderson,County,Psychostimulants with Abuse Potential (Including Methamphetamine),1,Count,,,No
2013,Anderson,County,Drug Overdose Deaths Involving All Stimulants,,Rate,,,No
2013,Anderson,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Anderson,County,Cocaine Death,0,Rate,,,No
2013,Anderson,County,Fentanyl Death,0,Rate,,,No
2013,Anderson,County,Heroin Death,0,Rate,,,No
2013,Anderson,County,Opioid Death,31,Rate,,,No
2013,Anderson,County,All Opioids,33,Rate,,,No
2013,Anderson,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,,Rate,,,No
2013,Anderson,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Anderson,County,All Drug Overdose Deaths,35,Rate,,,No
2013,Anderson,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate,,,No
2013,Bedford,County,Stimulant Death,0,Count,,,No
2013,Bedford,County,Benzodiazepine Death,1,Count,,,No
2013,Bedford,County,Cocaine Death,0,Count,,,No
2013,Bedford,County,Fentanyl Death,1,Count,,,No
2013,Bedford,County,Heroin Death,1,Count,,,No
2013,Bedford,County,Opioid Death,1,Count,,,No
2013,Bedford,County,All Opioids,3,Count,,,No
2013,Bedford,County,Opioids and Any Stimulant,0,Count,,,No
2013,Bedford,County,All Opioids and Benzodiazepines,1,Count,,,No
2013,Bedford,County,All Drug Overdose Deaths,4,Count,,,No
2013,Bedford,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count,,,No
2013,Bedford,County,Stimulant Death,0,Rate,,,No
2013,Bedford,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Bedford,County,Cocaine Death,0,Rate,,,No
2013,Bedford,County,Drug Overdose Deaths Involving Fentanyl,,Rate,,,No
2013,Bedford,County,Drug Overdose Deaths Involving Heroin,,Rate,,,No
2013,Bedford,County,Drug Overdose Deaths Involving Prescription Opioids,,Rate,,,No
2013,Bedford,County,Drug Overdose Deaths Involving All Opioids,,Rate,,,No
2013,Bedford,County,Opioids and Any Stimulant,0,Rate,,,No
2013,Bedford,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Bedford,County,All Drug Overdose Deaths,,Rate,,,No
2013,Bedford,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate,,,No
2013,Benton,County,Stimulant Death,0,Count,,,No
2013,Benton,County,Benzodiazepine Death,5,Count,,,No
2013,Benton,County,Cocaine Death,0,Count,,,No
2013,Benton,County,Fentanyl Death,0,Count,,,No
2013,Benton,County,Heroin Death,1,Count,,,No
2013,Benton,County,Opioid Death,8,Count,,,No
2013,Benton,County,All Opioids,10,Count,,,No
2013,Benton,County,Opioids and Any Stimulant,0,Count,,,No
2013,Benton,County,All Opioids and Benzodiazepines,4,Count,,,No
2013,Benton,County,All Drug Overdose Deaths,11,Count,,,No
2013,Benton,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count,,,No
2013,Benton,County,Stimulant Death,0,Rate,,,No
2013,Benton,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Benton,County,Cocaine Death,0,Rate,,,No
2013,Benton,County,Fentanyl Death,0,Rate,,,No
2013,Benton,County,Drug Overdose Deaths Involving Heroin,,Rate,,,No
2013,Benton,County,Drug Overdose Deaths Involving Prescription Opioids,,Rate,,,No
2013,Benton,County,All Opioids,61,Rate,,,No
2013,Benton,County,Opioids and Any Stimulant,0,Rate,,,No
2013,Benton,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Benton,County,All Drug Overdose Deaths,65,Rate,,,No
2013,Benton,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate,,,No
2013,Bledsoe,County,Stimulant Death,0,Count,,,No
2013,Bledsoe,County,Benzodiazepine Death,1,Count,,,No
