year,geography,geography_type,indicator,value,value_type,demographics,demographic_type,included
2013,Anderson,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),0,Count,,,No
2013,Anderson,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),0,Count,,,No
2013,Anderson,County,Inpatient Stays Involving Cocaine Overdose,0,Count,,,No
2013,Anderson,County,Outpatient Visits Involving Cocaine Overdose,0,Count,,,No
2013,Anderson,County,Inpatient Stays Involving Heroin Overdose,0,Count,,,No
2013,Anderson,County,Outpatient Visits Involving Heroin Overdose,0,Count,,,No
2013,Anderson,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,33,Count,,,No
2013,Anderson,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,18,Count,,,No
2013,Anderson,County,Inpatient Stays Involving All Drug Overdose,108,Count,,,No
2013,Anderson,County,Outpatient Visits Involving All Drug Overdose,172,Count,,,No
2013,Anderson,County,Inpatient Stays Involving All Stimulant Overdose,3,Count,,,No
2013,Anderson,County,Outpatient Visits Involving All Stimulant Overdose,1,Count,,,No
2013,Anderson,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),0,Rate,,,No
2013,Anderson,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),0,Rate,,,No
2013,Anderson,County,Inpatient Stays Involving Cocaine Overdose,0,Rate,,,No
2013,Anderson,County,Outpatient Visits Involving Cocaine Overdose,0,Rate,,,No
2013,Anderson,County,Inpatient Stays Involving Heroin Overdose,0,Rate,,,No
2013,Anderson,County,Outpatient Visits Involving Heroin Overdose,0,Rate,,,No
2013,Anderson,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,40,Rate,,,No
2013,Anderson,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,22,Rate,,,No
2013,Anderson,County,Inpatient Stays Involving All Drug Overdose,139,Rate,,,No
2013,Anderson,County,Outpatient Visits Involving All Drug Overdose,242,Rate,,,No
2013,Anderson,County,Inpatient Stays Involving All Stimulant Overdose,,Rate,,,No
2013,Anderson,County,Outpatient Visits Involving All Stimulant Overdose,,Rate,,,No
2013,Bedford,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),0,Count,,,No
2013,Bedford,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),0,Count,,,No
2013,Bedford,County,Inpatient Stays Involving Cocaine Overdose,0,Count,,,No
2013,Bedford,County,Outpatient Visits Involving Cocaine Overdose,0,Count,,,No
2013,Bedford,County,Inpatient Stays Involving Heroin Overdose,1,Count,,,No
2013,Bedford,County,Outpatient Visits Involving Heroin Overdose,0,Count,,,No
2013,Bedford,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,11,Count,,,No
2013,Bedford,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,6,Count,,,No
2013,Bedford,County,Inpatient Stays Involving All Drug Overdose,68,Count,,,No
2013,Bedford,County,Outpatient Visits Involving All Drug Overdose,111,Count,,,No
2013,Bedford,County,Inpatient Stays Involving All Stimulant Overdose,1,Count,,,No
2013,Bedford,County,Outpatient Visits Involving All Stimulant Overdose,2,Count,,,No
2013,Bedford,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),0,Rate,,,No
2013,Bedford,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),0,Rate,,,No
2013,Bedford,County,Inpatient Stays Involving Cocaine Overdose,0,Rate,,,No
2013,Bedford,County,Outpatient Visits Involving Cocaine Overdose,0,Rate,,,No
2013,Bedford,County,Inpatient Stays Involving Heroin Overdose,,Rate,,,No
