year,geography,geography_type,indicator,value,value_type
2013,Anderson,County,All Benzodiazepines,55273,Count
2013,Anderson,County,Alprazolam,22635,Count
2013,Anderson,County,Clonazepam,10779,Count
2013,Anderson,County,Diazepam,7208,Count
2013,Anderson,County,Lorazepam,10119,Count
2013,Anderson,County,All Opioids for Pain,125010,Count
2013,Anderson,County,Hydrocodone,55805,Count
2013,Anderson,County,Oxycodone,37661,Count
2013,Anderson,County,Tramadol,9295,Count
2013,Anderson,County,All Benzodiazepines,10472,Patients
2013,Anderson,County,Alprazolam,4225,Patients
2013,Anderson,County,Clonazepam,1880,Patients
2013,Anderson,County,Diazepam,2122,Patients
2013,Anderson,County,Lorazepam,2614,Patients
2013,Anderson,County,All Opioids for Pain,25150,Patients
2013,Anderson,County,Hydrocodone,17317,Patients
2013,Anderson,County,Oxycodone,8534,Patients
2013,Anderson,County,Tramadol,3575,Patients
2013,Anderson,County,All Benzodiazepines,732,Rate
2013,Anderson,County,Alprazolam,300,Rate
2013,Anderson,County,Clonazepam,143,Rate
2013,Anderson,County,Diazepam,95,Rate
2013,Anderson,County,Lorazepam,134,Rate
2013,Anderson,County,All Opioids for Pain,1655,Rate
2013,Anderson,County,Hydrocodone,739,Rate
2013,Anderson,County,Oxycodone,499,Rate
2013,Anderson,County,Tramadol,123,Rate
2013,Bedford,County,All Benzodiazepines,30242,Count
2013,Bedford,County,Alprazolam,17452,Count
2013,Bedford,County,Clonazepam,3655,Count
2013,Bedford,County,Diazepam,3426,Count
2013,Bedford,County,Lorazepam,3854,Count
2013,Bedford,County,All Opioids for Pain,61559,Count
2013,Bedford,County,Hydrocodone,35272,Count
2013,Bedford,County,Oxycodone,11390,Count
2013,Bedford,County,Tramadol,6532,Count
2013,Bedford,County,All Benzodiazepines,5336,Patients
2013,Bedford,County,Alprazolam,2842,Patients
2013,Bedford,County,Clonazepam,690,Patients
2013,Bedford,County,Diazepam,1086,Patients
2013,Bedford,County,Lorazepam,1005,Patients
2013,Bedford,County,All Opioids for Pain,14174,Patients
2013,Bedford,County,Hydrocodone,10312,Patients
2013,Bedford,County,Oxycodone,3612,Patients
2013,Bedford,County,Tramadol,2554,Patients
2013,Bedford,County,All Benzodiazepines,659,Rate
2013,Bedford,County,Alprazolam,380,Rate
2013,Bedford,County,Clonazepam,80,Rate
2013,Bedford,County,Diazepam,75,Rate
2013,Bedford,County,Lorazepam,84,Rate
2013,Bedford,County,All Opioids for Pain,1341,Rate
2013,Bedford,County,Hydrocodone,768,Rate
2013,Bedford,County,Oxycodone,248,Rate
2013,Bedford,County,Tramadol,142,Rate
2013,Benton,County,All Benzodiazepines,18420,Count
2013,Benton,County,Alprazolam,11277,Count
2013,Benton,County,Clonazepam,1456,Count
2013,Benton,County,Diazepam,2695,Count
2013,Benton,County,Lorazepam,1646,Count
2013,Benton,County,All Opioids for Pain,37224,Count
2013,Benton,County,Hydrocodone,22744,Count
2013,Benton,County,Oxycodone,5867,Count
2013,Benton,County,Tramadol,2950,Count
2013,Benton,County,All Benzodiazepines,3273,Patients
2013,Benton,County,Alprazolam,2031,Patients
2013,Benton,County,Clonazepam,313,Patients
2013,Benton,County,Diazepam,609,Patients
2013,Benton,County,Lorazepam,396,Patients
2013,Benton,County,All Opioids for Pain,7092,Patients
2013,Benton,County,Hydrocodone,5393,Patients
2013,Benton,County,Oxycodone,1759,Patients
2013,Benton,County,Tramadol,1207,Patients
2013,Benton,County,All Benzodiazepines,1131,Rate
2013,Benton,County,Alprazolam,692,Rate
2013,Benton,County,Clonazepam,89,Rate
2013,Benton,County,Diazepam,165,Rate
2013,Benton,County,Lorazepam,101,Rate
2013,Benton,County,All Opioids for Pain,2285,Rate
2013,Benton,County,Hydrocodone,1396,Rate
2013,Benton,County,Oxycodone,360,Rate
2013,Benton,County,Tramadol,181,Rate
2013,Bledsoe,County,All Benzodiazepines,9961,Count
2013,Bledsoe,County,Alprazolam,4765,Count
2013,Bledsoe,County,Clonazepam,1296,Count
2013,Bledsoe,County,Diazepam,1869,Count
2013,Bledsoe,County,Lorazepam,1408,Count
2013,Bledsoe,County,All Opioids for Pain,20379,Count
2013,Bledsoe,County,Hydrocodone,11462,Count
2013,Bledsoe,County,Oxycodone,4153,Count
2013,Bledsoe,County,Tramadol,1538,Count
2013,Bledsoe,County,All Benzodiazepines,1655,Patients
2013,Bledsoe,County,Alprazolam,759,Patients
2013,Bledsoe,County,Clonazepam,256,Patients
2013,Bledsoe,County,Diazepam,384,Patients
2013,Bledsoe,County,Lorazepam,295,Patients
2013,Bledsoe,County,All Opioids for Pain,3999,Patients
2013,Bledsoe,County,Hydrocodone,2810,Patients
2013,Bledsoe,County,Oxycodone,1120,Patients
2013,Bledsoe,County,Tramadol,593,Patients
